tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,roberta_sentiment
569731104070115329,positive,1.0,,,Southwest,,JasmineDT,,1,@SouthwestAir you're my early frontrunner for best airline! #oscars2016,,2015-02-22 21:30:54 -0800,Washington D.C. ,Eastern Time (US & Canada),positive
569263373092823040,negative,1.0,Cancelled Flight,1.0,US Airways,,ElizabethFrayer,,0,@USAirways how is it that my flt to EWR was Cancelled Flightled yet flts to NYC from USAirways are still flying?,,2015-02-21 14:32:19 -0800,,,negative
568818669024907264,negative,1.0,Late Flight,0.677,Delta,,The_Radifier,,0,@JetBlue what is going on with your BDL to DCA flights yesterday and today?! Why is every single one getting delayed?,,2015-02-20 09:05:13 -0800,"Arlington, VA",Atlantic Time (Canada),negative
567775864679456768,neutral,1.0,,,Delta,,rnlewisjr,,0,"@JetBlue do they have to depart from Washington, D.C.??",,2015-02-17 12:01:29 -0800,"iPhone: 60.495510,-151.064590",Alaska,neutral
568526521910079488,negative,0.6625,Customer Service Issue,0.3394,Delta,,beantoon,,0,@JetBlue I can probably find some of them. Are the ticket #s on there?,,2015-02-19 13:44:20 -0800,"Plymouth,  MA",,neutral
570008443626647552,negative,1.0,Can't Tell,0.3477,United,,kabell87,,0,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here,,2015-02-23 15:52:57 -0800,,,negative
568622671287566336,negative,1.0,Cancelled Flight,0.6871,United,,stephaniefoos,,0,@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,"[40.69522398, -74.1760931]",2015-02-19 20:06:23 -0800,"Boston, MA",Alaska,negative
569076569983086592,neutral,1.0,,,Delta,,theycallme_HH,,0,@JetBlue Thank you ! What about Paris ? Could we arrange something from there ?,"[0.0, 0.0]",2015-02-21 02:10:01 -0800,Orleans/Tarpon Springs/London,Amsterdam,positive
568884344221081600,negative,0.6869,Can't Tell,0.3434,United,,andreamvdlg,,0,"@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",,2015-02-20 13:26:11 -0800,Edinbrah ,Eastern Time (US & Canada),neutral
570119853312311296,positive,1.0,,,US Airways,,GrahamHaigh,,0,"@usairways great crew for flight 504 PHX to YVR tonight! Friendly, efficient. Awesome job.",,2015-02-23 23:15:40 -0800,"Vancouver, Canada",Pacific Time (US & Canada),positive
570303720308809728,negative,1.0,Customer Service Issue,1.0,US Airways,,jhazelnut,,0,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.,,2015-02-24 11:26:17 -0800,,,negative
569184833361936387,neutral,0.6843,,0.0,Southwest,,BavarianLin,,0,@SouthwestAir I DM'd you,"[30.26196639, -97.75945775]",2015-02-21 09:20:13 -0800,New Jersey / Munich,Eastern Time (US & Canada),neutral
568572506300243968,positive,1.0,,,Southwest,,walterbiscardi,,0,@SouthwestAir Already signed up!  Thanks!  Looking forward to trying the Southwest experience.,,2015-02-19 16:47:03 -0800,Atlanta,Eastern Time (US & Canada),positive
568975192615223296,neutral,0.6535,,0.0,Southwest,,mmillanjr,,0,@SouthwestAir it was 3472,,2015-02-20 19:27:11 -0800,,,neutral
569332237138841600,positive,0.3502,,0.0,US Airways,,MattClement,,0,@USAirways Oh well. I'll get to Cancun eventually.,,2015-02-21 19:05:57 -0800,"Troy, NY",Eastern Time (US & Canada),neutral
569346960181870592,negative,1.0,Bad Flight,0.6667,US Airways,,EllenFord,,0,@USAirways flight 837 passengers stuck on plane in Philly. Where is the gangway?  We can't hear the pilot,,2015-02-21 20:04:27 -0800,"Gloucester, MA",Quito,negative
570240246719381504,negative,1.0,Lost Luggage,1.0,American,,dianafakhouri,,0,"@AmericanAir No, had already waited an hour for it and wanted to get home.","[0.0, 0.0]",2015-02-24 07:14:04 -0800,"Chicago, IL",Eastern Time (US & Canada),neutral
569994045205803009,positive,0.7047,,0.0,Southwest,,itspr1,,0,@SouthwestAir thanks for the quick response. Should I call daily it wait the 5 days.,,2015-02-23 14:55:45 -0800,,Pacific Time (US & Canada),positive
569587048811761664,negative,1.0,Can't Tell,0.3516,Delta,,emilybholan,,0,@JetBlue now we dont have enough money for parking in your garage this is your fault and im not paying for what should be 10mins into 3hrs,,2015-02-22 11:58:29 -0800,N Y,,negative
568944962311626752,neutral,1.0,,,Delta,,BillyKace,,0,@JetBlue 266 at LGB in Sunny So Cal http://t.co/V015PK7DSi,"[33.8117407, -118.1628]",2015-02-20 17:27:04 -0800,,Pacific Time (US & Canada),neutral
569598991463268352,negative,0.7257,Flight Attendant Complaints,0.3919,American,,otisday,,0,@AmericanAir @yvonneokaka When do I get my personal response and apology for your crew's having forgotten to load baggage onto my flight?,,2015-02-22 12:45:56 -0800,Pekin,Eastern Time (US & Canada),negative
568424902287446016,negative,1.0,Flight Attendant Complaints,0.6531,Delta,,yippersNY,,0,"@JetBlue No, he didn't have more info. I was more infuriated by the way previous rep treated me. how she can possibly work as a JetBlue rep?",,2015-02-19 07:00:32 -0800,,,negative
568803218488033282,negative,1.0,Customer Service Issue,1.0,United,,Selcukatli,,0,@united is a money sucking airline with terrible terrible customer service,,2015-02-20 08:03:49 -0800,San Francisco,Eastern Time (US & Canada),negative
570118668551458816,neutral,0.6687,,0.0,American,,sherscott,,0,@AmericanAir and btwn gate a8 &amp; a15 I lost a diamond earring #dayjustgotWORSE! Pls have maintenance look for it!! http://t.co/UieSR3GHHO,,2015-02-23 23:10:57 -0800,Houston,Central Time (US & Canada),negative
569289836995190784,positive,0.7065,,,US Airways,,awitsportsfreak,,0,"@USAirways #ShoutOut 2 Kristie(sp?) from Gate4 @ PVD today. She's a #RockStar, was a tremendous help in a tough situation. #PromoteThatGirl","[41.72221977, -71.44574004]",2015-02-21 16:17:28 -0800,"Wisconsin, Arizona and...",Pacific Time (US & Canada),positive
569522479049400320,negative,1.0,Bad Flight,0.6952,US Airways,,corybronze,,3,"@USAirways My family, friends and colleagues will NEVER  fly USAir again. Bad weather happens. The good airlines seem to communicate better.",,2015-02-22 07:41:54 -0800,,,negative
567821528424845312,positive,0.6804,,0.0,Delta,,mrsmjem,,0,"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load.",,2015-02-17 15:02:56 -0800,CT,Quito,positive
568567970450055170,neutral,1.0,,,Delta,,markjohnson319,,0,@JetBlue @airbusintheus A320 landing @aruba_airport in February of 2014. #avgeek #warmweather https://t.co/Kaej9G0CHd,,2015-02-19 16:29:02 -0800,"Dallas, TX",,neutral
568072079096061952,neutral,1.0,,,Southwest,,cej1124,,0,"@SouthwestAir Ahhhh! Sorry, just followed.",,2015-02-18 07:38:32 -0800,"Austin, TX, USA",Central Time (US & Canada),negative
